City,Country,Bicycle Usage,Bicycle Roads,Bicycle Rental Stations,Bicycle Stolen,lat,lon,average_slope,elevation,pop,temp_q1,temp_median,temp_q3
Oslo,Norway,7.0,38.58,42.86,83.65,59.9133301,10.7389701,39.75,19.0,5576660.0,1.4105000495910645,8.11050033569336,14.46049976348877
Brussels,Belgium,3.0,40.75,40.86,90.47,50.8465573,4.351697,31.75,28.0,11738763.0,6.601500034332275,12.101499557495117,17.30150032043457
Los Angeles,United States,1.1,50.65,7.41,85.29,34.0536909,-118.242766,24.375,102.0,345426571.0,13.194499969482422,16.844499588012695,21.24449920654297
Santiago,Chile,3.9,34.34,5.96,90.79,-33.4377756,-70.6504502,64.25,577.0,19764771.0,11.223999977111816,15.473999977111816,20.474000930786133
Warsaw,Poland,5.0,29.5,24.13,95.94,52.2333742,21.0711489,7.75,79.0,38539201.0,3.265000104904175,10.014999389648438,17.51500129699707
Dublin,Ireland,3.0,43.56,47.07,81.95,53.3493795,-6.2605593,16.25,12.0,5255017.0,7.489500045776367,11.339500427246094,14.78950023651123
Boston,United States,2.4,54.2,32.0,82.81,42.3554334,-71.060511,14.0,31.0,345426571.0,2.8410000801086426,11.640999794006348,18.64099884033203
London,United Kingdom,2.0,42.61,6.58,90.06,51.5074456,-0.1277653,22.375,17.0,69138192.0,7.251999855041504,12.026999950408936,16.802000045776367
Lisbon,Portugal,1.0,44.94,10.42,97.68,38.7077507,-9.1365919,41.625,8.0,10425292.0,13.758000373840332,17.007999420166016,20.808000564575195
Stockholm,Sweden,1.0,51.97,20.94,89.63,59.3251172,18.0710935,18.125,28.0,10606999.0,2.4715001583099365,7.921499729156494,14.371500015258789
Milan,Italy,6.0,35.26,29.24,85.34,45.4641943,9.1896346,8.75,131.0,59342867.0,6.826999664306641,14.126999855041504,20.876998901367188
Athens,Greece,2.0,32.47,2.82,83.85,37.9755648,23.7348324,206.25,101.0,10047817.0,12.312000274658203,17.961999893188477,25.812000274658203
New York,United States,1.2,48.2,23.98,85.19,40.7127281,-74.0060152,33.75,51.0,345426571.0,4.495999813079834,13.845999717712402,21.04599952697754
Krakow,Poland,1.2,33.39,40.12,96.73,50.0469432,19.9971534,23.125,197.0,38539201.0,2.7689998149871826,10.269000053405762,17.41900062561035
Seoul,South Korea,1.5,43.62,1.18,98.74,37.5666791,126.9782914,38.75,66.0,51717590.0,2.2165000438690186,13.816499710083008,23.466501235961914
Rome,Italy,1.0,34.17,2.04,88.38,41.8933203,12.4829321,38.25,50.0,59342867.0,11.288999557495117,16.23900032043457,23.23900032043457
Chicago,United States,1.7,49.65,16.25,85.3,41.8755616,-87.6244212,8.0,189.0,345426571.0,2.626499891281128,11.476500511169434,20.426498413085938
Detroit,United States,1.0,55.79,4.31,59.15,42.3315509,-83.0466403,7.875,186.0,345426571.0,1.80649995803833,11.656499862670898,20.4064998626709
Prague,Czech Republic,1.0,37.34,7.04,96.51,50.0596288,14.4464593,30.75,231.0,,3.564499855041504,10.589500427246094,17.664501190185547
Istanbul,Turkey,0.5,31.71,3.11,88.95,41.006381,28.9758715,17.625,40.0,87473805.0,9.47350025177002,14.82349967956543,22.423500061035156
Cairo,Egypt,5.0,18.35,1.06,93.94,30.0443879,31.2357257,21.125,48.0,116538258.0,17.85650062561035,23.456501007080078,29.6564998626709
Sao Paulo,Brazil,5.1,12.04,2.5,18.86,-23.5506507,-46.6333824,38.125,787.0,211998573.0,16.839500427246094,20.13949966430664,23.239500045776367
Johannesburg,South Africa,0.2,57.11,6.95,1.0,-26.205,28.049722,36.5,1747.0,64007187.0,11.879500389099121,16.129499435424805,20.041999340057373
Nairobi,Kenya,2.0,24.1,1.76,83.16,-1.3026148,36.828842,77.5,1652.0,56432944.0,16.28499984741211,18.48499870300293,22.684999465942383
New Delhi,India,4.0,23.38,1.25,88.96,28.6430858,77.2192671,19.5,216.0,1450935791.0,20.25,26.649999618530273,30.549999237060547
Mexico City,Mexico,0.08,23.45,4.46,47.19,19.3207722,-99.1514678,72.0,2269.0,130861007.0,13.5649995803833,16.165000915527344,20.37750005722046
Bogota,Colombia,4.0,17.3,1.0,28.51,4.6533815,-74.0836331,251.5,2554.0,52886363.0,11.42449951171875,13.474499702453613,17.124500274658203
Cali,Colombia,4.5,13.07,1.14,29.75,3.4108435,-76.5812127,594.75,1099.0,52886363.0,19.135000228881836,20.635000228881836,23.28499984741211
Buenos Aires,Argentina,1.2,16.94,7.17,84.15,-34.6083696,-58.4440583,13.5,24.0,45696159.0,12.891499519348145,18.09149932861328,22.654000282287598
Hong Kong,SAR China,0.5,34.89,13.78,98.16,22.2793278,114.1628131,133.875,45.0,,18.0939998626709,24.29400062561035,26.90649938583374
Jakarta,Indonesia,2.0,21.24,1.29,93.87,-6.1754049,106.827168,5.375,4.0,283487931.0,25.474000930786133,26.874000549316406,28.874000549316406
Moscow,Russia,3.0,13.84,4.15,69.64,55.625578,37.6063916,16.5,186.0,144820423.0,-0.3995000123977661,7.075500011444092,16.800500869750977
Tbilisi,Georgia,0.03,14.85,2.63,97.43,41.6934591,44.8014495,182.625,432.0,3807670.0,5.1570000648498535,13.506999969482422,20.85700035095215
Bangkok,Thailand,0.25,24.75,10.85,91.93,13.7524938,100.4935089,6.875,6.0,71668011.0,26.38249969482422,28.232500076293945,30.63249969482422
Medellin,Colombia,0.5,9.27,5.54,29.56,6.2697324,-75.6025597,443.125,1613.0,52886363.0,16.461000442504883,18.111000061035156,21.361000061035156
Lagos,Nigeria,0.14,1.43,1.01,73.72,6.4550575,3.3941795,3.0,11.0,232679478.0,25.74799919128418,27.148000717163086,28.21049976348877
