Név,Google Maps Link,Szélességi fok,Hosszúsági fok,Weboldal,Telefon,Cím,E-mail,Összes E-mail
Goldfingers Thai Massage Budapest,https://www.google.com/maps/place/Goldfingers+Thai+Massage+Budapest/data=!4m7!3m6!1s0x4741dd35225969b5:0xf606cd26bed21c26!8m2!3d47.4985499!4d19.0568453!16s%2Fg%2F11t2tg21tv!19sChIJtWlZIjXdQUcRJhzSvibNBvY?authuser=0&hl=hu&rclk=1,47.4985499,19.0568453,https://goldfingersthaimassage.hu/,06205253879,"Budapest, Király u. 8-Central Passage 1. emelet, 1061",,
VIP Thai Massage,https://www.google.com/maps/place/VIP+Thai+Massage/data=!4m7!3m6!1s0x4741dc6ba758f46f:0x7dcf06837ad3a1da!8m2!3d47.5016245!4d19.0567319!16s%2Fg%2F11b6j8p5y6!19sChIJb_RYp2vcQUcR2qHTeoMGz30?authuser=0&hl=hu&rclk=1,47.5016245,19.0567319,http://vipthaimassage.hu/,06307559043,"Budapest, Révay u. 14, 1065",,
Thai 5 Budapest Thai Massage,https://www.google.com/maps/place/Thai+5+Budapest+Thai+Massage/data=!4m7!3m6!1s0x4741dd2c578274ad:0x7448e02588980da0!8m2!3d47.4962539!4d19.0530776!16s%2Fg%2F11f6y7br07!19sChIJrXSCVyzdQUcRoA2YiCXgSHQ?authuser=0&hl=hu&rclk=1,47.4962539,19.0530776,http://www.thai5.hu/,06709477494,"Budapest, Fehér Hajó u. 8-10, 1052",info@thai5.hu,info@thai5.hu
Pavina Thai Massage Budapest,https://www.google.com/maps/place/Pavina+Thai+Massage+Budapest/data=!4m7!3m6!1s0x81e1ab7377a84a15:0x6bc9515f134f43a7!8m2!3d47.5028079!4d19.0569398!16s%2Fg%2F11y0ctk03w!19sChIJFUqod3Or4YERp0NPE19RyWs?authuser=0&hl=hu&rclk=1,47.5028079,19.0569398,https://pavinathaimassage.hu/,06703450665,"Budapest, Lázár u. 12, 1065",,
Erawan Thai Massage / Ó Street,https://www.google.com/maps/place/Erawan+Thai+Massage+%2F+%C3%93+Street/data=!4m7!3m6!1s0x4741dd3929db76ff:0xc54d87508306f246!8m2!3d47.5028557!4d19.0560321!16s%2Fg%2F11sg2p7hvj!19sChIJ_3bbKTndQUcRRvIGg1CHTcU?authuser=0&hl=hu&rclk=1,47.5028557,19.0560321,http://www.erawanthai.hu/,06205967148,"Budapest, Ó u. 4, 1066",erawan_o@erawanthai.hu,"erawan_o@erawanthai.hu, erawan@erawanthai.hu, erawan_kaldy@erawanthai.hu"
Erawan Thai Massage / Kaldy Gyula 6,https://www.google.com/maps/place/Erawan+Thai+Massage+%2F+Kaldy+Gyula+6/data=!4m7!3m6!1s0x4741dd136838da39:0xf7e64fa8c0703c6b!8m2!3d47.4998359!4d19.0574321!16s%2Fg%2F11ghs3kxb4!19sChIJOdo4aBPdQUcRazxwwKhP5vc?authuser=0&hl=hu&rclk=1,47.4998359,19.0574321,http://www.erawanthai.hu/,06203251179,"Budapest, Káldy Gyula u. 6, 1061",erawan_o@erawanthai.hu,"erawan_o@erawanthai.hu, erawan@erawanthai.hu, erawan_kaldy@erawanthai.hu"
Relax thai massage,https://www.google.com/maps/place/Relax+thai+massage/data=!4m7!3m6!1s0x4741ddf34c113deb:0x7b07f3e8ef5d9ddd!8m2!3d47.5103197!4d19.0640142!16s%2Fg%2F11qbb8z7v0!19sChIJ6z0RTPPdQUcR3Z1d7-jzB3s?authuser=0&hl=hu&rclk=1,47.5103197,19.0640142,https://relaxthaimassage.hu/,06204063245,"Budapest, Szondi u. 31, 1067",massage.byjennylove@gmail.com,"massage.byjennylove@gmail.com, contact@celina.com, Contact@cellina.com"
Cohen Spa,https://www.google.com/maps/place/Cohen+Spa/data=!4m7!3m6!1s0x4741dd917968a42f:0x3ca8d2b16a22353d!8m2!3d47.5066164!4d19.052334!16s%2Fg%2F11x5wbd26c!19sChIJL6RoeZHdQUcRPTUiarHSqDw?authuser=0&hl=hu&rclk=1,47.5066164,19.052334,https://cohenspa.com/,06708825777,"Budapest, Hold u. 25, 1054",,
"Spirit Thai Massage, Dessewffy 47","https://www.google.com/maps/place/Spirit+Thai+Massage,+Dessewffy+47/data=!4m7!3m6!1s0x4741dc6d6ccc3e1d:0x217dd3b706704ca1!8m2!3d47.5066354!4d19.0591537!16s%2Fg%2F1tmpj8wt!19sChIJHT7MbG3cQUcRoUxwBrfTfSE?authuser=0&hl=hu&rclk=1",47.5066354,19.0591537,http://www.thai-masszazs.net/,06706534387,"Budapest, Dessewffy u. 47, 1066",info@thai-masszazs.net,info@thai-masszazs.net
Jázmin Thai Masszázs Budapest,https://www.google.com/maps/place/J%C3%A1zmin+Thai+Massz%C3%A1zs+Budapest/data=!4m7!3m6!1s0x4741dc132153be9f:0x98c3dd4f84bf3c4!8m2!3d47.5059058!4d19.0548441!16s%2Fg%2F1q69p2xmr!19sChIJn75TIRPcQUcRxPNL-NQ9jAk?authuser=0&hl=hu&rclk=1,47.5059058,19.0548441,http://www.jazmin-thai-masszazs.hu/,06202909999,"Budapest, Bajcsy-Zsilinszky út 58, 1054",jazminthai@gmail.com,jazminthai@gmail.com
Aum Thai Massage,https://www.google.com/maps/place/Aum+Thai+Massage/data=!4m7!3m6!1s0x4741dd51a5af1293:0xfc42b170abf538d3!8m2!3d47.5109725!4d19.0646096!16s%2Fg%2F11j_2l7ht2!19sChIJkxKvpVHdQUcR0zj1q3CxQvw?authuser=0&hl=hu&rclk=1,47.5109725,19.0646096,https://aumthaimasszazs.hu/?utm_source=GMB&utm_medium=GMB-web&utm_campaign=GMB-web&utm_id=GMB-web,06301471344,"Budapest, Rózsa u. 99 - 101, 1064",info@aumthaimassage.hu,info@aumthaimassage.hu
Chada Ruby Thai Massage,https://www.google.com/maps/place/Chada+Ruby+Thai+Massage/data=!4m7!3m6!1s0x4741dd741cf3bcf5:0xd3253faabced0607!8m2!3d47.4974843!4d19.0560121!16s%2Fg%2F11h5pt3vtk!19sChIJ9bzzHHTdQUcRBwbtvKo_JdM?authuser=0&hl=hu&rclk=1,47.4974843,19.0560121,https://chadathaibudapest.hu/,06203648886,"Budapest, Károly krt. 23-Doorbell No.19, 1075",%20chadathaibudapest@gmail.com,"%20chadathaibudapest@gmail.com, chadathaibudapest@gmail.com"
Kesorn Thai Masszázs 2,https://www.google.com/maps/place/Kesorn+Thai+Massz%C3%A1zs+2/data=!4m7!3m6!1s0x4741ddd0f3692007:0x5f5aca84cee43663!8m2!3d47.5004693!4d19.0592297!16s%2Fg%2F11fsf_kmh9!19sChIJByBp89DdQUcRYzbkzoTKWl8?authuser=0&hl=hu&rclk=1,47.5004693,19.0592297,http://kesornthaimassage.hu/,06706320571,"Budapest, Székely Mihály u. 4-6, 1061",,
Lanna Thai Massage,https://www.google.com/maps/place/Lanna+Thai+Massage/data=!4m7!3m6!1s0x4741dd64dee8c101:0xef4f35361b12334a!8m2!3d47.4999328!4d19.0568567!16s%2Fg%2F11fn7r52lm!19sChIJAcHo3mTdQUcRSjMSGzY1T-8?authuser=0&hl=hu&rclk=1,47.4999328,19.0568567,http://www.lannathaimassage.hu/,06705869494,"Budapest, Paulay Ede u. 13, 1061",info@lannathaimassage.hu,info@lannathaimassage.hu
De Lanna Thai Massage,https://www.google.com/maps/place/De+Lanna+Thai+Massage/data=!4m7!3m6!1s0x4741dc688986ef1f:0xc9ca2776c8787aed!8m2!3d47.4993691!4d19.0650232!16s%2Fg%2F11c2j89lqq!19sChIJH--GiWjcQUcR7Xp4yHYnysk?authuser=0&hl=hu&rclk=1,47.4993691,19.0650232,http://www.delannathai.com/,06306899622,"Budapest, Klauzál u. 35, 1072",605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, delannathai@gmail.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com"
Pieris Massage,https://www.google.com/maps/place/Pieris+Massage/data=!4m7!3m6!1s0x4741ddc4293a7b65:0xc7c70e440304260a!8m2!3d47.5015696!4d19.0681684!16s%2Fg%2F11q4dllkj0!19sChIJZXs6KcTdQUcRCiYEA0QOx8c?authuser=0&hl=hu&rclk=1,47.5015696,19.0681684,https://pierismassage.com/,06707066696,"Budapest, Erzsébet krt. 35, 1073",pierismassage@gmail.com,pierismassage@gmail.com
Aileenaa Thai Massage,https://www.google.com/maps/place/Aileenaa+Thai+Massage/data=!4m7!3m6!1s0x4741dd66d8a1b94b:0x1ff79eed84904154!8m2!3d47.4990542!4d19.0670516!16s%2Fg%2F11ss4qydvr!19sChIJS7mh2GbdQUcRVEGQhO2e9x8?authuser=0&hl=hu&rclk=1,47.4990542,19.0670516,https://aileenmasszazs.hu/,06301081854,"Budapest, Akácfa u. 27-29. fsz. 36, 1072",aileenthaimassage@gmail.com,aileenthaimassage@gmail.com
Siam Thai Massage,https://www.google.com/maps/place/Siam+Thai+Massage/data=!4m7!3m6!1s0x4741dd2baef050f3:0x2e23e265f8384a73!8m2!3d47.5038226!4d19.0551766!16s%2Fg%2F11s6jhf481!19sChIJ81DwrivdQUcRc0o4-GXiIy4?authuser=0&hl=hu&rclk=1,47.5038226,19.0551766,http://www.siamthaimassage.hu/,06705608115,"Budapest, Bajcsy-Zsilinszky út 29, 1066",siamthaimassagebp@gmail.com,siamthaimassagebp@gmail.com
Karma Thai Massage - Masszázs Szalon Budapest,https://www.google.com/maps/place/Karma+Thai+Massage+-+Massz%C3%A1zs+Szalon+Budapest/data=!4m7!3m6!1s0x4741dd03d6d09b6f:0xc7343c1db8961d93!8m2!3d47.500586!4d19.0605484!16s%2Fg%2F11h3bfxtn2!19sChIJb5vQ1gPdQUcRkx2WuB08NMc?authuser=0&hl=hu&rclk=1,47.500586,19.0605484,https://karmathaimasszazs.hu/,06707777746,"Budapest, Király u. 38, 1061",,
Royal Palace Thai Massage,https://www.google.com/maps/place/Royal+Palace+Thai+Massage/data=!4m7!3m6!1s0x4741dd0b0ad86c43:0xb25c3db6d27c8cfd!8m2!3d47.49702!4d19.060053!16s%2Fg%2F11s4tp3w5m!19sChIJQ2zYCgvdQUcR_Yx80rY9XLI?authuser=0&hl=hu&rclk=1,47.49702,19.060053,https://rpthaimassage.hu/,06705851090,"Budapest, Dob u. 7, 1072",rptm@rpthaimassage.hu,rptm@rpthaimassage.hu
Dreamhouse Massage,https://www.google.com/maps/place/Dreamhouse+Massage/data=!4m7!3m6!1s0x4741dd9061ef3361:0x8860bf34ab29fa13!8m2!3d47.5097327!4d19.067904!16s%2Fg%2F11s_svdm6s!19sChIJYTPvYZDdQUcRE_opqzS_YIg?authuser=0&hl=hu&rclk=1,47.5097327,19.067904,http://eroticmassage.hu/,06203960637,"Budapest, Aradi u. 52/A, 1062",,
Well Thais Massage,https://www.google.com/maps/place/Well+Thais+Massage/data=!4m7!3m6!1s0x4741dc46d679eac9:0x79d8564bb2d66382!8m2!3d47.4938155!4d19.0511938!16s%2Fg%2F11b5pjlh43!19sChIJyep51kbcQUcRgmPWsktW2Hk?authuser=0&hl=hu&rclk=1,47.4938155,19.0511938,https://calendar.app.google/MLiTRunCq55X5HkQ8,06705616731,"Budapest, Galamb u. 9, 1052",,
Thai Massage Chantika & Spa,https://www.google.com/maps/place/Thai+Massage+Chantika+%26+Spa/data=!4m7!3m6!1s0x4741ddcd92054d49:0xfdbaa78ff3c0607c!8m2!3d47.503589!4d19.062096!16s%2Fg%2F11s5k7j_6l!19sChIJSU0Fks3dQUcRfGDA84-nuv0?authuser=0&hl=hu&rclk=1,47.503589,19.062096,,06205681899,"Budapest Paulay Ede 56utca, 1061",,
Thaijwan kft Thai Massage Budapest,https://www.google.com/maps/place/Thaijwan+kft+Thai+Massage+Budapest/data=!4m7!3m6!1s0x4741dd0030452457:0xe4e3a113850d89d1!8m2!3d47.4904466!4d19.0737348!16s%2Fg%2F11yl64h1kk!19sChIJVyRFMADdQUcR0YkNhROh4-Q?authuser=0&hl=hu&rclk=1,47.4904466,19.0737348,https://www.facebook.com/people/Thaijwan-kft-Thai-Massage-Budapest/61581547906146/#,06708826499,"Budapest, Német u. 23, 1084",,
Thaipro Thai Massage,https://www.google.com/maps/place/Thaipro+Thai+Massage/data=!4m7!3m6!1s0x4741dc72f9b69edd:0x9e2ef0417f3de7bb!8m2!3d47.5094189!4d19.0620109!16s%2Fg%2F11fxxsx60_!19sChIJ3Z62-XLcQUcRu-c9f0HwLp4?authuser=0&hl=hu&rclk=1,47.5094189,19.0620109,http://www.thaipro.hu/english,0617004210,"Budapest, Szondi u. 22, 1067",,
Thaipro Thai Massage,https://www.google.com/maps/place/Thaipro+Thai+Massage/data=!4m7!3m6!1s0x4741ddc25db65b95:0x6b2f71676bab8093!8m2!3d47.4993824!4d19.0714743!16s%2Fg%2F11j50h9kc5!19sChIJlVu2XcLdQUcRk4Cra2dxL2s?authuser=0&hl=hu&rclk=1,47.4993824,19.0714743,http://www.thaipro.hu/,0617004210,"Budapest, Dohány u. 78, 1073",,
Khanitta Thai Massage,https://www.google.com/maps/place/Khanitta+Thai+Massage/data=!4m7!3m6!1s0x4741dd1a96ed390b:0xd4a11e4ae3ba26fc!8m2!3d47.5079221!4d19.0568716!16s%2Fg%2F11mpd29rvv!19sChIJCzntlhrdQUcR_Ca640oeodQ?authuser=0&hl=hu&rclk=1,47.5079221,19.0568716,https://khanitta.hu/,06205250052,"Budapest, Podmaniczky u. 15, 1065",info@khanitta.hu,info@khanitta.hu
De Lanna Thai Massage - Sip,https://www.google.com/maps/place/De+Lanna+Thai+Massage+-+Sip/data=!4m7!3m6!1s0x4741ddf027341cc1:0x8f4892b6fa4a474!8m2!3d47.4959109!4d19.0624169!16s%2Fg%2F11j8gd8w11!19sChIJwRw0J_DdQUcRdKSkbyuJ9Ag?authuser=0&hl=hu&rclk=1,47.4959109,19.0624169,http://www.delannathai.com/,06305710883,"Budapest, Síp u. 4, 1075",605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, delannathai@gmail.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com"
Miracle Thai massage( Thai)&spa wellness,https://www.google.com/maps/place/Miracle+Thai+massage%28+Thai%29%26spa+wellness/data=!4m7!3m6!1s0x4741dea6366f6849:0xbe1077b07540e87c!8m2!3d47.4892172!4d19.0553625!16s%2Fg%2F11f4zh25kv!19sChIJSWhvNqbeQUcRfOhAdbB3EL4?authuser=0&hl=hu&rclk=1,47.4892172,19.0553625,http://www.miraclethaimassage.hu/,06704226847,"Budapest, Molnár u. 22-24 Ground floor, 1056",nijpasindarin@gmail.com,nijpasindarin@gmail.com
Massage House,https://www.google.com/maps/place/Massage+House/data=!4m7!3m6!1s0x4741dc73970cdc21:0x9794eaa85bad90c7!8m2!3d47.5111739!4d19.0642987!16s%2Fg%2F119whdk55!19sChIJIdwMl3PcQUcRx5CtW6jqlJc?authuser=0&hl=hu&rclk=1,47.5111739,19.0642987,https://massagehouse.hu/en/?utm_source=google&utm_medium=organic&utm_campaign=gmb-web,06305758784,"Budapest, Rózsa u. 101, 1064",info@massagehouse.hu,info@massagehouse.hu
Fahrung Thai Massage Budapest,https://www.google.com/maps/place/Fahrung+Thai+Massage+Budapest/data=!4m7!3m6!1s0x4741ddbf9ccba903:0x17be669cda55c93c!8m2!3d47.5012434!4d19.056216!16s%2Fg%2F11v5t_62_z!19sChIJA6nLnL_dQUcRPMlV2pxmvhc?authuser=0&hl=hu&rclk=1,47.5012434,19.056216,,06202496926,"Budapest, Révay u. 8, 1065",,
Harmony-Med Spa,https://www.google.com/maps/place/Harmony-Med+Spa/data=!4m7!3m6!1s0x4741df3e36028a3f:0x9b846bf618e0cc50!8m2!3d47.460406!4d18.956902!16s%2Fg%2F11kjmdbvgk!19sChIJP4oCNj7fQUcRUMzgGPZrhJs?authuser=0&hl=hu&rclk=1,47.460406,18.956902,https://harmony-med-spa.webnode.hu/,06202866616,"Budaörs, Szabadság út 61, 2040",info@domainem.hu,info@domainem.hu
Made in Thailand,https://www.google.com/maps/place/Made+in+Thailand/data=!4m7!3m6!1s0x4741dc69fe949d23:0x6ba1bdfa42affe9b!8m2!3d47.4981513!4d19.0584489!16s%2Fg%2F11b778y4z3!19sChIJI52U_mncQUcRm_6vQvq9oWs?authuser=0&hl=hu&rclk=1,http://www.madeinthailand.hu/,06703303855,"Budapest, Madách Imre út 9, 1075",,
RNA_Massage_Rehabilitation_Form Studio,https://www.google.com/maps/place/RNA_Massage_Rehabilitation_Form+Studio/data=!4m7!3m6!1s0x4741dd461606a677:0xd9d7f442a4c2400a!8m2!3d47.501887!4d19.05089!16s%2Fg%2F11yl82slr4!19sChIJd6YGFkbdQUcRCkDCpEL019k?authuser=0&hl=hu&rclk=1,https://rna-rehabilitation--form-studio.webnode.hu/,06305988348,"Budapest, Október 6. u. 19, 1051",info@domainem.hu,info@domainem.hu
Thai Massage,https://www.google.com/maps/place/Thai+Massage/data=!4m7!3m6!1s0x4741dda794227dfb:0x2afc4c645541836f!8m2!3d47.493771!4d19.0525107!16s%2Fg%2F11h0zbqx02!19sChIJ-30ilKfdQUcRb4NBVWRM_Co?authuser=0&hl=hu&rclk=1,,06704197289,"Budapest, Váci u 23, 1052",,
Blossom Thai Massage - Nails Budapest,https://www.google.com/maps/place/Blossom+Thai+Massage+-+Nails+Budapest/data=!4m7!3m6!1s0x4741ddf630249569:0x93f90c396f308d1d!8m2!3d47.4990382!4d19.0577842!16s%2Fg%2F11pkljv1zq!19sChIJaZUkMPbdQUcRHY0wbzkM-ZM?authuser=0&hl=hu&rclk=1,https://www.facebook.com/Blosson-Thai-Massage-Nails-101153222440858,06205091350,"Budapest, Király u. 18, 1061",,
Chill-e Thaimassage,https://www.google.com/maps/place/Chill-e+Thaimassage/data=!4m7!3m6!1s0x6a4c434fceba8687:0x4d6e584b2090eccf!8m2!3d47.5016251!4d19.0666288!16s%2Fg%2F11sr__dlfb!19sChIJh4a6zk9DTGoRz-yQIEtYbk0?authuser=0&hl=hu&rclk=1,http://www.chillethaimassage.hu/,06307868386,"Budapest, Dob u. 60, 1072",chillethaimassage@gmail.com,chillethaimassage@gmail.com
Sa-Bai Thai Massage,https://www.google.com/maps/place/Sa-Bai+Thai+Massage/data=!4m7!3m6!1s0x4741dc41e4226d2f:0x87964ee7bdd341a6!8m2!3d47.4979289!4d19.0565308!16s%2Fg%2F11rd3j3_7!19sChIJL20i5EHcQUcRpkHTvedOloc?authuser=0&hl=hu&rclk=1,http://www.sabaithaimassage.hu/,06309699969,"Budapest, Asbóth u. 17, 1075",,
Lian Thai massage,https://www.google.com/maps/place/Lian+Thai+massage/data=!4m7!3m6!1s0x4741dc4285e05745:0x3d651e8c47f10f78!8m2!3d47.4968573!4d19.0615885!16s%2Fg%2F11bywz_hm4!19sChIJRVfghULcQUcReA_xR4weZT0?authuser=0&hl=hu&rclk=1,https://lianmassage.hu/,06303281862,"Budapest, Wesselényi utca 9, 1077",info@lianmassage.hu,info@lianmassage.hu
"Sunflower Thai Massage, Budapest","https://www.google.com/maps/place/Sunflower+Thai+Massage,+Budapest/data=!4m7!3m6!1s0x4741dd3361bd5f9b:0x988b850754ade944!8m2!3d47.5079922!4d19.0647487!16s%2Fg%2F11v64qd05b!19sChIJm1-9YTPdQUcRROmtVAeFi5g?authuser=0&hl=hu&rclk=1",https://www.facebook.com/Sunflowerthaimassage2,06202404307,"Budapest, Vörösmarty u. 36, 1064",,
Buda Thai Massage - Tradicionális Thai Masszázs szalon,https://www.google.com/maps/place/Buda+Thai+Massage+-+Tradicion%C3%A1lis+Thai+Massz%C3%A1zs+szalon/data=!4m7!3m6!1s0x4741dd0eb93268ed:0x6463afb9bbbd0978!8m2!3d47.5060935!4d19.0270392!16s%2Fg%2F11s6b0y0dh!19sChIJ7WgyuQ7dQUcReAm9u7mvY2Q?authuser=0&hl=hu&rclk=1,https://budathaimassage.hu/,06305540025,"Budapest, Várfok u. 7-9, 1012",info@budathaimassage.hu,info@budathaimassage.hu
Massage Service,https://www.google.com/maps/place/Massage+Service/data=!4m7!3m6!1s0x4741dddcf9a7e431:0x95d2437307ddd9bb!8m2!3d47.4940814!4d19.0527625!16s%2Fg%2F11x6jl660_!19sChIJMeSn-dzdQUcRu9ndB3ND0pU?authuser=0&hl=hu&rclk=1,https://massageservice.hu/,06204608550,"Budapest, Váci u 20, 1052",7990info@massageservice.hu,"7990info@massageservice.hu, info@massageservice.hu"
Thai Massage Pink,https://www.google.com/maps/place/Thai+Massage+Pink/data=!4m7!3m6!1s0x4741dd92734f54ab:0x6f07cc38f11e6e7a!8m2!3d47.5059531!4d19.0713906!16s%2Fg%2F11frrjxvnv!19sChIJq1RPc5LdQUcRem4e8TjMB28?authuser=0&hl=hu&rclk=1,,06301629234,"Budapest, Rózsa u. 45, 1077",,
SA-BAI THAI MASSAGE,https://www.google.com/maps/place/SA-BAI+THAI+MASSAGE/data=!4m7!3m6!1s0x4741dde9c3c240c9:0xe17d71d24b2fd975!8m2!3d47.4988647!4d19.0573121!16s%2Fg%2F11g_nvb2p7!19sChIJyUDCw-ndQUcRddkvS9JxfeE?authuser=0&hl=hu&rclk=1,http://www.sabaithaimassage.hu/,06208054311,"Budapest, Király u. 14, 1061",,
Oktogon Erotic Massage Budapest,https://www.google.com/maps/place/Oktogon+Erotic+Massage+Budapest/data=!4m7!3m6!1s0x4741dd71e68def1d:0x8fac1b848e3f434c!8m2!3d47.5052955!4d19.0634776!16s%2Fg%2F11r9vh_3ss!19sChIJHe-N5nHdQUcRTEM_joQbrI8?authuser=0&hl=hu&rclk=1,http://oktogoneroticmassage.hu/,06702399729,"Budapest, Teréz krt., 1066",,
